Unnamed: 0	SLL10_LV	SLL10_RAA	SLL13_LV	SLL13_RAA	SLL18_LV	SLL18_RAA	SLL18_RV	SLL20_LV
ENSG00000166143	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0
ENSG00000166145	22.0	22.0	99.0	18.0	44.0	96.0	63.0	10.0
ENSG00000166147	4265.0	1621.0	3790.0	2887.0	3196.0	3721.0	2888.0	4002.0
ENSG00000166148	433.0	106.0	484.0	196.0	161.0	290.0	427.0	225.0
ENSG00000166152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
ENSG00000166153	52.0	5.0	24.0	18.0	4.0	41.0	12.0	13.0
ENSG00000166159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166164	1941.0	552.0	1490.0	888.0	1775.0	1343.0	1119.0	1353.0
ENSG00000166165	11527.0	3947.0	12681.0	6440.0	6065.0	7598.0	2575.0	8795.0
ENSG00000166166	201.0	148.0	281.0	115.0	230.0	208.0	128.0	330.0
ENSG00000166167	2886.0	506.0	2282.0	739.0	2453.0	1362.0	1927.0	2449.0
ENSG00000166169	595.0	312.0	552.0	226.0	592.0	516.0	391.0	640.0
ENSG00000166170	1253.0	449.0	995.0	732.0	1143.0	1315.0	988.0	1201.0
ENSG00000166171	597.0	538.0	469.0	298.0	729.0	660.0	349.0	600.0
ENSG00000166173	2079.0	539.0	1491.0	927.0	1576.0	1195.0	1210.0	1339.0
ENSG00000166181	1622.0	888.0	1577.0	1166.0	1531.0	2190.0	1343.0	1507.0
ENSG00000166183	570.0	1130.0	231.0	1257.0	484.0	1623.0	281.0	329.0
ENSG00000166188	385.0	163.0	411.0	158.0	404.0	360.0	261.0	366.0
ENSG00000166189	630.0	173.0	494.0	197.0	396.0	338.0	323.0	578.0
ENSG00000166192	224.0	193.0	263.0	77.0	252.0	175.0	139.0	212.0
ENSG00000166197	2035.0	802.0	1935.0	935.0	2048.0	1554.0	1484.0	2006.0
ENSG00000166199	446.0	391.0	317.0	334.0	386.0	533.0	218.0	448.0
ENSG00000166200	3703.0	2627.0	3014.0	2213.0	4216.0	4182.0	2701.0	3003.0
ENSG00000166206	251.0	781.0	110.0	733.0	284.0	1907.0	356.0	85.0
ENSG00000166211	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0
ENSG00000166220	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
ENSG00000166224	808.0	142.0	660.0	259.0	470.0	458.0	425.0	642.0
ENSG00000166225	689.0	609.0	545.0	563.0	633.0	1073.0	684.0	506.0
ENSG00000166226	3368.0	1730.0	2506.0	1889.0	3541.0	2679.0	1762.0	3778.0
ENSG00000166228	4475.0	4159.0	3827.0	2492.0	3328.0	4403.0	1491.0	3728.0
ENSG00000166233	2943.0	1204.0	2171.0	1387.0	2719.0	2695.0	2358.0	2433.0
ENSG00000166246	8.0	0.0	14.0	10.0	3.0	9.0	12.0	12.0
ENSG00000166250	280.0	234.0	214.0	285.0	181.0	830.0	212.0	104.0
ENSG00000166257	56.0	30.0	127.0	52.0	177.0	55.0	123.0	220.0
ENSG00000166260	1323.0	1174.0	1044.0	725.0	1194.0	1883.0	993.0	1151.0
ENSG00000166261	297.0	59.0	178.0	63.0	265.0	226.0	144.0	264.0
ENSG00000166262	502.0	216.0	318.0	225.0	503.0	417.0	349.0	224.0
ENSG00000166263	249.0	157.0	109.0	111.0	154.0	301.0	101.0	108.0
ENSG00000166265	919.0	746.0	1341.0	639.0	1258.0	1261.0	1315.0	1499.0
ENSG00000166266	1829.0	1123.0	1797.0	847.0	2205.0	1745.0	1674.0	1850.0
ENSG00000166268	0.0	0.0	2.0	10.0	5.0	0.0	0.0	2.0
ENSG00000166272	1202.0	903.0	1388.0	1074.0	1388.0	2427.0	1083.0	1472.0
ENSG00000166275	917.0	1537.0	607.0	823.0	742.0	1780.0	604.0	497.0
ENSG00000166278	45.0	27.0	91.0	53.0	32.0	176.0	7.0	10.0
